"","Plot.Code","Census.No","m.rates.annual","region"
"271","ELD-34",16,0.0296888210686,"1AMA_GuSh"
"272","ELD-34",17,0.0132175540008386,"1AMA_GuSh"
"273","ELD-34",18,0.013891480043093,"1AMA_GuSh"
"274","ELD-34",19,0.0200877987766794,"1AMA_GuSh"
"275","ELD-34",20,0.0129727764907817,"1AMA_GuSh"
"276","ELD-34",21,0.0110353928740078,"1AMA_GuSh"
"277","ELD-34",22,0.0177156070754683,"1AMA_GuSh"
"278","ELD-34",23,0.0200185564219163,"1AMA_GuSh"
"279","ELD-34",24,0.023873214289558,"1AMA_GuSh"
"280","ELD-34",25,0.00763870606818051,"1AMA_GuSh"
"281","ELD-34",26,0.0229017060308312,"1AMA_GuSh"
"282","FEC-01",3,0.0526861019594174,"3AMA_W"
"283","FEC-01",4,0.0155734346058974,"3AMA_W"
"284","FLO-01",2,0.0291292468574417,"4AMA_BrSh"
"285","FLO-01",3,0.025775206800023,"4AMA_BrSh"
"286","FLO-01",4,0.0274970069611975,"4AMA_BrSh"
"287","FLO-02",2,0.0184779483792116,"4AMA_BrSh"
"288","FLO-02",3,0.00660914228066545,"4AMA_BrSh"
"289","FMH-01",2,0.00538128082284217,"1AMA_GuSh"
"290","FMH-01",3,0.00457445464766904,"1AMA_GuSh"
"291","FMH-01",4,0.00140084406615415,"1AMA_GuSh"
"292","FMH-01",5,0.000469492013675299,"1AMA_GuSh"
"293","FMH-01",6,0.00958145701454249,"1AMA_GuSh"
"294","FMH-01",7,0.0121106894410611,"1AMA_GuSh"
"295","FMH-01",8,0.0170993874321417,"1AMA_GuSh"
"296","FMH-02",3,0.00422463358693781,"1AMA_GuSh"
"297","FMH-02",4,0.00626220382725251,"1AMA_GuSh"
"298","FMH-03",2,0.00769788184084486,"1AMA_GuSh"
"299","FMH-03",3,0.00309889004533814,"1AMA_GuSh"
"300","FMH-03",4,0.0153905283750194,"1AMA_GuSh"
"301","GMT-01",2,0.0161002342174614,"2AMA_EC"
"302","GMT-01",3,0.0148174099338335,"2AMA_EC"
"303","HCC-21",2,0.0277500050744713,"4AMA_BrSh"
"304","HCC-21",3,0.0309940481099856,"4AMA_BrSh"
"305","HCC-21",4,0.0294449232474362,"4AMA_BrSh"
"306","HCC-21",5,0.0357261048990546,"4AMA_BrSh"
"307","HCC-21",6,0.022720815604281,"4AMA_BrSh"
"308","HCC-22",2,0.0166060500517078,"4AMA_BrSh"
"309","HCC-22",3,0.0289166286941362,"4AMA_BrSh"
"310","HCC-22",4,0.0363744712227094,"4AMA_BrSh"
"311","HCC-22",5,0.0233380956774744,"4AMA_BrSh"
"312","HCC-22",6,0.0207660058435407,"4AMA_BrSh"
"313","HCC-24",3,0.0242985907811181,"4AMA_BrSh"
"314","HCC-24",4,0.0409486383880651,"4AMA_BrSh"
"315","IND-01",2,0.0496933394921406,"3AMA_W"
"316","INF-01",2,0.0205441782508158,"3AMA_W"
"317","IWO-21",2,0.00785790388448404,"1AMA_GuSh"
"318","IWO-21",3,0.0181335467862608,"1AMA_GuSh"
"319","IWO-21",4,0.00353552271865243,"1AMA_GuSh"
"320","IWO-21",5,0.0124415204254361,"1AMA_GuSh"
"321","IWO-22",2,0.00498717656745906,"1AMA_GuSh"
"322","IWO-22",3,0.0115117221906822,"1AMA_GuSh"
"323","IWO-22",4,0.00338451320489663,"1AMA_GuSh"
"324","IWO-22",5,0.0115740875540563,"1AMA_GuSh"
"325","JAC-01",2,0.00914665078914845,"2AMA_EC"
"326","JAC-01",3,0.0121647936209096,"2AMA_EC"
"327","JAC-01",4,0.00771140363395906,"2AMA_EC"
"328","JAC-01",5,0.0161975700031031,"2AMA_EC"
"329","JAC-01",6,0.0172542047465727,"2AMA_EC"
"330","JAC-01",7,0.00962275170174043,"2AMA_EC"
"331","JAC-01",8,0.0164936978149932,"2AMA_EC"
"332","JAC-02",2,0.00857689384285176,"2AMA_EC"
"333","JAC-02",3,0.0155922049580181,"2AMA_EC"
"334","JAC-02",4,0.00849224680042693,"2AMA_EC"
"335","JAC-02",5,0.0247109852198555,"2AMA_EC"
"336","JAC-02",6,0.0137235324838801,"2AMA_EC"
"337","JAC-02",7,0.0119105865234066,"2AMA_EC"
"338","JAC-02",8,0.0307691585709088,"2AMA_EC"
"339","JAS-02",2,0.0105137493451311,"3AMA_W"
"340","JAS-02",3,0.0281277274106815,"3AMA_W"
"341","JAS-02",4,0.0223811695653743,"3AMA_W"
"342","JAS-02",5,0.0430401100357495,"3AMA_W"
"343","JAS-02",6,0.0259563407875812,"3AMA_W"
"344","JAS-02",7,0.0196236934345534,"3AMA_W"
"345","JAS-03",2,0.0234574587571738,"3AMA_W"
"346","JAS-03",3,0.0174807307560495,"3AMA_W"
"347","JAS-03",4,0.0134541707998687,"3AMA_W"
"348","JAS-03",5,0.0156162817097871,"3AMA_W"
"349","JAS-03",6,0.035159547500462,"3AMA_W"
"350","JAS-03",7,0.0188995667351534,"3AMA_W"
"351","JAS-04",2,0.00838808349985987,"3AMA_W"
"352","JAS-04",3,0.0105668424909606,"3AMA_W"
"353","JAS-04",4,0.0127381393054263,"3AMA_W"
"354","JAS-04",5,0.0244930183589654,"3AMA_W"
"355","JAS-04",6,0.0150273224043715,"3AMA_W"
"356","JAS-05",2,0.0171466474488344,"3AMA_W"
"357","JAS-05",3,0.0152431679622603,"3AMA_W"
"358","JAS-05",4,0.0284171674993072,"3AMA_W"
"359","JRI-01",2,0.00174825174825177,"2AMA_EC"
"360","JRI-01",3,0.0111217366407107,"2AMA_EC"
"361","JRI-01",4,0.0127873512349749,"2AMA_EC"
"362","JRI-01",5,0.00859925048709054,"2AMA_EC"
"363","JRI-01",6,0.0148965613508703,"2AMA_EC"
"364","KAL-01",2,0.0166029555139866,"3AMA_W"
"365","KAL-01",3,0.0396111662114259,"3AMA_W"
"366","KEN-01",2,0.00678721955591699,"4AMA_BrSh"
"367","KEN-01",3,0.018348623853211,"4AMA_BrSh"
"368","KEN-01",4,0.0288888888888889,"4AMA_BrSh"
"369","KEN-01",5,0.0110754606623852,"4AMA_BrSh"
"370","KEN-02",2,0.0246144732578729,"4AMA_BrSh"
"371","KEN-02",3,0.0399002493765586,"4AMA_BrSh"
"372","KEN-02",4,0.075,"4AMA_BrSh"
"373","KEN-02",5,0.0125503428933189,"4AMA_BrSh"
"374","LAS-02",2,0.0241719793287978,"3AMA_W"
"375","LAS-02",3,0.0204666266825636,"3AMA_W"
"376","LFB-01",2,0.0245408749076855,"4AMA_BrSh"
"377","LFB-01",3,0.0237896278241821,"4AMA_BrSh"
"378","LFB-01",4,0.0207461745376243,"4AMA_BrSh"
"379","LFB-01",5,0.0242582138538622,"4AMA_BrSh"
"380","LFB-01",6,0.0193572519965687,"4AMA_BrSh"
"381","LFB-01",7,0.0200254737133797,"4AMA_BrSh"
"382","LFB-02",2,0.0202222957226988,"4AMA_BrSh"
"383","LFB-02",3,0.015962792757057,"4AMA_BrSh"
"384","LFB-02",4,0.0202617023279856,"4AMA_BrSh"
"385","LFB-02",5,0.0544591489120867,"4AMA_BrSh"
"386","LFB-02",6,0.0177442202570989,"4AMA_BrSh"
"387","LFB-02",7,0.0322543776693545,"4AMA_BrSh"
"388","LFB-02",8,0.0265407402489578,"4AMA_BrSh"
"389","LOR-01",3,0.0233227801643293,"3AMA_W"
"390","LOR-01",4,0.0187254068369512,"3AMA_W"
"391","LOR-04",3,0.0221346963516964,"3AMA_W"
"392","LSL-01",2,0.0263230683052561,"4AMA_BrSh"
"393","LSL-01",3,0.0390655291081176,"4AMA_BrSh"
"394","LSL-01",4,0.0397884135934095,"4AMA_BrSh"
"395","LSL-02",2,0.0111115058545568,"4AMA_BrSh"
"396","LSL-02",3,0.0224579918657127,"4AMA_BrSh"
"397","LSL-02",4,0.041752437049193,"4AMA_BrSh"
"398","MIN-01",3,0.0195195819564562,"3AMA_W"
"399","MIN-01",4,0.0206739740262958,"3AMA_W"
"400","MNU-01",10,0.0280503489741343,"3AMA_W"
"401","MNU-01",6,0.0248840042857834,"3AMA_W"
"402","MNU-01",7,0.0222685977676477,"3AMA_W"
"403","MNU-01",8,0.0223907881417786,"3AMA_W"
"404","MNU-01",9,0.0192881325930038,"3AMA_W"
"405","MNU-03",2,0.0246804291603415,"3AMA_W"
"406","MNU-03",3,0.0360813177799555,"3AMA_W"
"407","MNU-03",4,0.029246273231839,"3AMA_W"
"408","MNU-03",5,0.0206486568441886,"3AMA_W"
"409","MNU-03",6,0.0216907206364533,"3AMA_W"
"410","MNU-04",2,0.0178346135524148,"3AMA_W"
"411","MNU-04",3,0.0208126898752327,"3AMA_W"
"412","MNU-04",4,0.0204721263991309,"3AMA_W"
"413","MNU-04",5,0.0122092827883956,"3AMA_W"
"414","MNU-04",6,0.025888851962388,"3AMA_W"
"415","MNU-04",7,0.015156613115345,"3AMA_W"
"416","MNU-05",2,0,"3AMA_W"
"417","MNU-05",3,0.0148377637318413,"3AMA_W"
"418","MNU-05",4,0.0118642482437357,"3AMA_W"
"419","MNU-05",5,0.0297936082715556,"3AMA_W"
"420","MNU-05",6,0.0179581657326572,"3AMA_W"
"421","MNU-05",7,0.0161211019822383,"3AMA_W"
"422","MNU-05",8,0.00841214145497537,"3AMA_W"
"423","MNU-06",2,0.0169851456740623,"3AMA_W"
"424","MNU-06",3,0.0186252483196427,"3AMA_W"
"425","MNU-06",4,0.0246867486065364,"3AMA_W"
"426","MNU-06",5,0.017255477953141,"3AMA_W"
"427","MNU-06",6,0.0193968864754496,"3AMA_W"
"428","MNU-06",7,0.0174503459085971,"3AMA_W"
"429","MNU-08",2,0.0117519292978751,"3AMA_W"
"430","MNU-08",3,0.0146835040972008,"3AMA_W"
"431","MNU-08",4,0.0152990628547359,"3AMA_W"
"432","MNU-08",5,0.0188238486373796,"3AMA_W"
"433","MNU-09",2,0.0214568788465813,"3AMA_W"
"434","MNU-09",3,0.0271965162218051,"3AMA_W"
"435","MNU-09",4,0.021679823339732,"3AMA_W"
"436","MNU-09",5,0.0231168007848426,"3AMA_W"
"437","MRB-01",2,0.0194673983558115,"4AMA_BrSh"
"438","MRB-01",3,0.0234593404212166,"4AMA_BrSh"
"439","MRB-01",4,0.0269397891784149,"4AMA_BrSh"
"440","MRB-02",2,0.0129009899858429,"4AMA_BrSh"
"441","MRB-02",3,0.0263569095035429,"4AMA_BrSh"
"442","MRB-02",4,0.0240402386447041,"4AMA_BrSh"
"443","MRB-03",2,0.0162699755092095,"4AMA_BrSh"
"444","MRB-03",3,0.0211199869504557,"4AMA_BrSh"
"445","MRB-03",4,0.0197227002416276,"4AMA_BrSh"
"446","MSH-01",2,0.0182302342136926,"3AMA_W"
"447","MTG-58",2,0.0111180693445773,"3AMA_W"
"448","MTG-58",3,0.00444501338334613,"3AMA_W"
"449","MTH-01",2,0.0390907182095901,"3AMA_W"
"450","MTH-01",3,0.0221082780829335,"3AMA_W"
"451","MTH-01",4,0.0164901924692886,"3AMA_W"
"452","MTH-01",5,0.035305710323433,"3AMA_W"
"453","NOU-02",2,0.012022554945346,"1AMA_GuSh"
"454","NOU-02",3,0.0103297592840379,"1AMA_GuSh"
"455","NOU-02",4,0.0102059424480586,"1AMA_GuSh"
"456","NOU-02",5,0.011686174018442,"1AMA_GuSh"
"457","NOU-04",2,0.0146059276139815,"1AMA_GuSh"
"458","NOU-04",3,0.0146945002601692,"1AMA_GuSh"
"459","NOU-04",4,0.0230651811269693,"1AMA_GuSh"
"460","NOU-04",5,0.0165114257075993,"1AMA_GuSh"
"461","NOU-10",2,0.0164028046175335,"1AMA_GuSh"
"462","NOU-10",3,0.0177062144061689,"1AMA_GuSh"
